GEN_TPS_1	GEN_TPS_2	DispatchGen
S-NG_CC	5	4.7
C-Wind-2	5	0.0
S-Residential_PV	4	0.0
S-Commercial_PV	7	0.43316
N-Biomass_IGCC_CCS	3	0.0
C-Central_PV-2	3	0.0
N-Nuclear	1	0.0
S-Central_PV-1	2	-8.12683254025615e-16
C-Commercial_PV	3	0.0
N-Central_PV-1	1	0.0
N-NG_CC_CCS	1	0.0
S-Central_PV-1	3	0.0
N-Wind-2	3	0.0
C-Biomass_IGCC	7	0.0
N-Biomass_IGCC	1	0.0
S-Commercial_PV	5	0.0
N-Coal_IGCC	6	0.0
S-Central_PV-2	2	0.0
N-Wind-1	3	0.0
C-NG_CC	3	2.21599062442428
C-Nuclear	3	0.0
S-NG_GT	1	0.0
S-Residential_PV	3	0.0
N-Residential_PV	7	0.0
C-Residential_PV	3	0.0
N-Central_PV-2	1	0.0
C-Central_PV-2	6	0.0
N-Residential_PV	4	0.0
S-Geothermal	7	2.90574225
N-Nuclear	2	0.0
N-Biomass_IGCC	3	0.0
S-Central_PV-1	7	-4.92939022933569e-16
S-Geothermal	4	2.90574225
N-NG_CC_CCS	6	0.0
C-Biomass_IGCC	2	0.0
N-Coal_IGCC_CCS	6	0.0
N-Coal_ST	3	1.692
C-Coal_ST	5	1.692
S-Commercial_PV	2	0.72618
N-Residential_PV	2	0.0
S-Central_PV-2	4	0.0
N-Wind-1	6	0.0
C-Coal_IGCC	3	0.0
N-NG_CC	5	1.72540836081654
C-Wind-2	2	0.0
S-NG_GT	2	0.0
C-Central_PV-1	5	0.0
S-NG_CC	3	4.07884419280908
N-Commercial_PV	2	1.274
N-NG_GT	7	0.0
S-NG_CC	6	4.7
C-Central_PV-2	5	0.0
S-NG_CC_CCS	2	0.0
N-Central_PV-1	6	0.0
S-Biomass_IGCC_CCS	3	0.0
N-Nuclear	7	0.0
S-Biomass_IGCC	5	0.0
C-NG_GT	5	0.0
S-Central_PV-1	4	-9.32587340685131e-16
N-Wind-2	5	0.0
N-Coal_IGCC_CCS	3	0.0
C-Wind-1	1	0.0
C-Coal_ST	2	1.692
C-NG_CC	4	1.33992848996832
N-Wind-1	5	0.0
N-NG_CC	2	0.217983135955649
C-Wind-2	1	0.0
S-NG_GT	7	0.0
N-Biomass_IGCC_CCS	7	0.0
C-Residential_PV	6	0.0
N-Commercial_PV	5	0.0
S-NG_CC_CCS	5	0.0
C-Commercial_PV	7	0.2744
N-Central_PV-2	7	0.0
S-Biomass_IGCC_CCS	6	0.0
C-NG_GT	6	1.88
N-Geothermal	7	0.96858075
N-Coal_IGCC	2	0.0
C-Wind-1	6	0.0
C-Coal_IGCC	4	0.0
C-NG_CC	7	4.16569487774652
C-Nuclear	7	0.0
S-NG_CC	4	3.89459445538543
C-Wind-2	4	0.0
S-Residential_PV	7	0.0
N-Central_PV-2	2	0.0
C-Central_PV-2	2	0.0
N-NG_GT	4	0.0
S-Central_PV-2	5	0.0
N-Coal_ST	1	1.692
C-Commercial_PV	4	0.45276
S-Geothermal	3	2.90574225
N-NG_CC_CCS	2	0.0
S-Biomass_IGCC	3	0.0
C-Biomass_IGCC	6	0.0
S-Commercial_PV	6	1.00646
N-Coal_IGCC	7	0.0
S-Geothermal	5	2.90574225
N-Wind-1	2	0.0
C-Coal_IGCC	7	0.0
C-NG_CC	2	1.05743862724393
C-Nuclear	2	0.0
C-Central_PV-1	1	0.0
S-NG_CC	7	0.0
S-Residential_PV	2	0.0
C-Central_PV-2	1	0.0
N-Commercial_PV	6	1.4308
C-Residential_PV	1	0.0
N-Nuclear	3	0.0
C-NG_GT	1	0.0
C-Commercial_PV	1	0.0
N-Coal_ST	5	1.692
N-NG_CC_CCS	7	0.0
N-Wind-2	1	0.0
C-Biomass_IGCC	1	0.0
N-Coal_IGCC_CCS	7	5.79829685129872e-16
S-Geothermal	2	2.90574225
C-Coal_ST	6	1.692
N-NG_GT	2	0.0
N-Coal_IGCC	4	0.0
N-Wind-1	1	0.0
C-Coal_IGCC	2	0.0
N-NG_CC	6	1.88
C-Nuclear	1	0.0
S-NG_GT	3	0.0
C-Central_PV-1	6	-2.22044604925031e-16
S-Central_PV-2	7	0.0
S-NG_CC	2	3.75984121356917
S-Residential_PV	1	0.0
C-Central_PV-2	4	0.0
S-NG_CC_CCS	1	0.0
S-Commercial_PV	4	0.80262
S-Biomass_IGCC_CCS	2	0.0
N-Nuclear	4	0.0
S-Biomass_IGCC	4	0.0
C-NG_GT	2	0.0
S-Central_PV-1	5	0.0
N-Geothermal	3	0.96858075
N-NG_CC_CCS	4	0.0
N-Wind-2	6	0.0
N-Coal_IGCC_CCS	4	0.0
C-Wind-1	2	0.0
C-Coal_ST	3	1.692
N-NG_GT	1	0.0
N-Wind-1	4	0.0
N-NG_CC	3	1.88
S-NG_GT	4	0.0
N-Biomass_IGCC_CCS	4	0.0
N-Central_PV-2	3	0.0
S-NG_CC_CCS	4	0.0
N-Commercial_PV	7	0.7448
N-Central_PV-1	4	0.0
S-Biomass_IGCC_CCS	5	0.0
N-Coal_ST	7	1.692
S-Biomass_IGCC	7	0.0
C-NG_GT	7	0.0
N-Geothermal	6	0.96858075
N-Central_PV-1	5	0.0
N-Coal_IGCC	3	0.0
N-Biomass_IGCC	4	0.0
N-Coal_IGCC_CCS	1	0.0
S-Geothermal	1	2.90574225
C-Wind-1	7	3.1808
C-NG_CC	6	2.21599062442428
S-Central_PV-2	6	0.0
C-Nuclear	6	0.0
C-Residential_PV	4	0.0
N-Central_PV-2	4	0.0
C-Wind-2	7	2.56452
S-Residential_PV	6	0.0
N-Commercial_PV	4	1.2936
N-Biomass_IGCC_CCS	1	0.0
N-Residential_PV	1	0.0
S-NG_CC_CCS	7	0.0
C-Commercial_PV	5	0.0
S-Commercial_PV	3	0.0
N-NG_CC_CCS	3	0.0
S-Biomass_IGCC	2	0.0
C-Biomass_IGCC	5	0.0
N-Geothermal	5	0.96858075
N-NG_GT	6	0.28434005253432
N-Biomass_IGCC	2	0.0
C-Wind-1	4	0.0
C-Coal_IGCC	6	0.0
C-NG_CC	1	2.21599062442428
C-Nuclear	5	0.0
C-Central_PV-1	2	-1.71452163296543e-16
N-Coal_ST	4	1.692
S-Residential_PV	5	0.0
N-Biomass_IGCC_CCS	2	0.0
N-Central_PV-2	5	0.0
S-Central_PV-1	1	0.0
C-Commercial_PV	2	0.41846
N-Wind-2	2	0.0
N-Biomass_IGCC	5	0.0
C-Coal_ST	7	0.0
N-NG_GT	5	0.0
N-Coal_IGCC	5	0.0
N-Biomass_IGCC	7	0.0
C-Coal_IGCC	1	0.0
N-NG_CC	7	1.88
N-Commercial_PV	1	0.0
C-Central_PV-1	7	-1.09616956861724e-16
C-Residential_PV	5	0.0
S-NG_CC	1	4.24828557919536
N-Residential_PV	6	0.0
C-Central_PV-2	7	0.0
S-Geothermal	6	2.90574225
S-Biomass_IGCC_CCS	1	0.0
N-Nuclear	5	0.0
C-NG_GT	3	0.0
S-Central_PV-1	6	-9.99200722162641e-16
N-Geothermal	2	0.96858075
N-NG_GT	3	0.0
N-NG_CC_CCS	5	0.0
N-Wind-2	7	0.86478
C-Biomass_IGCC	3	0.0
N-Coal_IGCC_CCS	5	0.0
N-Central_PV-2	6	0.0
C-Wind-1	3	0.0
C-Coal_ST	4	1.692
S-Commercial_PV	1	0.0
N-Wind-1	7	3.1808
N-NG_CC	4	0.408479440073918
C-Wind-2	3	0.0
S-NG_GT	5	0.0
C-Central_PV-1	4	-1.79884236901291e-16
N-Biomass_IGCC_CCS	5	0.0
S-Central_PV-2	3	0.0
S-NG_CC_CCS	3	0.0
N-Central_PV-1	7	0.0
S-Biomass_IGCC_CCS	4	0.0
N-Nuclear	6	0.0
S-Biomass_IGCC	6	0.0
C-NG_GT	4	0.0
N-Geothermal	1	0.96858075
S-Central_PV-2	1	0.0
N-Commercial_PV	3	0.0
N-Wind-2	4	0.0
N-Coal_IGCC_CCS	2	0.0
N-Central_PV-1	3	0.0
C-Coal_ST	1	1.692
C-NG_CC	5	2.21599062442428
N-Biomass_IGCC	6	0.0
N-NG_CC	1	1.88
C-Wind-2	6	0.0
S-NG_GT	6	0.0
N-Biomass_IGCC_CCS	6	0.0
N-Residential_PV	5	0.0
S-NG_CC_CCS	6	0.0
C-Commercial_PV	6	0.50764
N-Central_PV-1	2	0.0
S-Biomass_IGCC_CCS	7	0.0
S-Biomass_IGCC	1	0.0
C-Biomass_IGCC	4	0.0
N-Geothermal	4	0.96858075
N-Coal_ST	2	1.692
C-Residential_PV	7	0.0
N-Coal_IGCC	1	0.0
N-Residential_PV	3	0.0
C-Wind-1	5	0.0
C-Coal_IGCC	5	0.0
C-Residential_PV	2	0.0
C-Nuclear	4	0.0
C-Central_PV-1	3	0.0
N-Coal_ST	6	1.692
