ZONE_TIMEPOINTS_1	ZONE_TIMEPOINTS_2	WithdrawFromCentralGrid
Central	7	4.05026399155227
North	4	4.4350580781415
South	2	7.39176346356917
Central	6	2.58880675818374
Central	5	3.16789862724393
North	1	5.27983104540655
North	3	4.75184794086589
Central	4	2.16008447729673
South	7	10.7813305174234
North	7	4.98428722280887
South	1	6.33579725448786
South	4	7.60295670538543
North	5	4.22386483632524
South	5	8.44772967265048
Central	3	3.80147835269271
North	2	4.22386483632524
South	3	6.86378035902851
Central	2	1.90538542766631
South	6	10.5596620908131
Central	1	3.90707497360084
North	6	6.33579725448786
