PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,TotalGenFixedCosts,39423202.3725,5628797.2864,annual
2020,LocalTDFixedCosts,1651628.12345,235817.471436,annual
2020,FuelCostsPerPeriod,19455255.7267,2777797.94767,annual
2020,TxFixedCosts,1306842.44851,186589.388615,annual
2030,TotalGenFixedCosts,28802842.7352,6698723.51327,annual
2030,LocalTDFixedCosts,3339634.92444,776704.271859,annual
2030,FuelCostsPerPeriod,10227440.181,2378612.23113,annual
2030,TxFixedCosts,1044233.01863,242858.954568,annual
2020,GenVariableOMCostsInTP,11102667.1746,1585225.42825,timepoint
2030,GenVariableOMCostsInTP,5728937.90898,1332388.31423,timepoint
