gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0
Central_PV,Central,Solar,2020,-8.71585504192e-16,0.0,0.0
Central_PV,Central,Solar,2030,-9.6090224385e-16,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0
Central_PV,North,Solar,2030,0.0,0.0,0.0
Central_PV,South,Solar,2020,-4.10211816515e-15,0.0,0.0
Central_PV,South,Solar,2030,-4.32110347504e-15,0.0,0.0
Coal_IGCC,Central,Coal,2020,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0
Coal_IGCC,North,Coal,2020,0.0,0.0,0.0
Coal_IGCC,North,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2020,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2030,5.08278701985e-15,5.01061144417e-11,7.55935669724e-13
Coal_ST,Central,Coal,2020,14.832031392,53395.3130112,13459.1785664
Coal_ST,Central,Coal,2030,0.0,0.0,0.0
Coal_ST,North,Coal,2020,14.832031392,50428.9067328,12750.8007471
Coal_ST,North,Coal,2030,14.832072,50429.0448,12750.835657
Commercial_PV,Central,Solar,2020,2.06712714768,0.0,0.0
Commercial_PV,Central,Solar,2030,2.4053904,0.0,0.0
Commercial_PV,North,Solar,2020,5.9490304944,0.0,0.0
Commercial_PV,North,Solar,2030,6.5289168,0.0,0.0
Commercial_PV,South,Solar,2020,3.8808305172,0.0,0.0
Commercial_PV,South,Solar,2030,3.79708056,0.0,0.0
Geothermal,North,Geothermal,2020,8.49055560856,244782.718195,0.0
Geothermal,North,Geothermal,2030,8.4905788545,244783.388375,0.0
Geothermal,South,Geothermal,2020,25.4716668257,881217.785501,0.0
Geothermal,South,Geothermal,2030,25.4717365635,881220.198151,0.0
NG_CC,Central,NaturalGas,2020,17.1959044029,46953.073054,6117.74048047
NG_CC,Central,NaturalGas,2030,36.5164812983,99707.5218555,12991.369957
NG_CC,North,NaturalGas,2020,12.7076924716,43372.6251749,4520.98143987
NG_CC,North,NaturalGas,2030,16.48008,56248.161048,5863.07356538
NG_CC,South,NaturalGas,2020,38.1118044425,156095.279691,13558.9337646
NG_CC,South,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0
NG_GT,Central,NaturalGas,2020,4.12002,91652.316912,2271.33983387
NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0
NG_GT,North,NaturalGas,2020,0.623131225129,17327.4099772,343.528131748
NG_GT,North,NaturalGas,2030,0.0,0.0,0.0
NG_GT,South,NaturalGas,2020,0.0,0.0,0.0
NG_GT,South,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Central,Uranium,2020,0.0,0.0,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0
Nuclear,North,Uranium,2020,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,0.0,0.0,0.0
Residential_PV,Central,Solar,2030,0.0,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0
Residential_PV,North,Solar,2030,0.0,0.0,0.0
Residential_PV,South,Solar,2020,0.0,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0
Wind,Central,Wind,2020,0.0,0.0,0.0
Wind,Central,Wind,2030,50.36347512,0.0,0.0
Wind,North,Wind,2020,0.0,0.0,0.0
Wind,North,Wind,2030,35.46355428,0.0,0.0
