load_zone	timestamp	ZoneTotalCentralDispatch	TXPowerNet	WithdrawFromCentralGrid
Central	2025011500	3.90799	-0.000915651	3.90707
Central	2025011512	3.1679	0	3.1679
Central	2025011600	3.90799	-0.106512	3.80148
Central	2025011612	3.48469	0	3.48469
Central	2025061500	3.90799	-0.740092	3.1679
Central	2025061512	6.29563	-2.07177	4.22386
Central	2035011512	10.1854	-5.32797	4.85744
North	2025011500	4.54058	0.73925	5.27983
North	2025011512	2.87856	0	2.87856
North	2025011600	4.54058	0.211267	4.75185
North	2025011612	3.06906	0	3.06906
North	2025061500	4.38599	-0.162124	4.22386
North	2025061512	4.82492	0	4.82492
North	2035011512	8.58616	-3.03685	5.54931
South	2025011500	7.15403	-0.818231	6.3358
South	2025011512	7.39176	0	7.39176
South	2025011600	6.98459	-0.120806	6.86378
South	2025011612	7.60296	0	7.60296
South	2025061500	7.60574	0.841987	8.44773
South	2025061512	8.6122	1.94746	10.5597
South	2035011512	3.3389	7.74874	11.0876
