gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,0.0,0.0,0.0
Central_PV,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Coal,2020,2.91965385202e-15,1.4206334927e-11,2.21713842076e-12
Coal_IGCC,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2020,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2030,-1.01655740397e-14,-1.00212228883e-10,-1.51187133945e-12
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.9793134
Coal_ST,Coal,2030,14.832072,50429.0448,12750.835657
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0
Geothermal,Geothermal,2020,33.9622224342,1126000.5037,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.58653,0.0
NG_CC,NaturalGas,2020,73.8387060628,266098.00055,26269.3970915
NG_CC,NaturalGas,2030,65.2708745483,189470.449746,23221.2428067
NG_CC_CCS,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,11.0717074998,301739.251825,6103.75927136
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2020,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,0.0,0.0,0.0
Wind,Wind,2030,85.8270294,0.0,0.0
