PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,TotalGenFixedCosts,29836619.7745,4260036.58544,annual
2020,LocalTDFixedCosts,1651628.12345,235817.471436,annual
2020,FuelCostsPerPeriod,22732324.366,3245693.85551,annual
2020,TxFixedCosts,1306842.44851,186589.388615,annual
2030,TotalGenFixedCosts,23525250.6274,5471305.41879,annual
2030,LocalTDFixedCosts,3339634.92444,776704.271859,annual
2030,FuelCostsPerPeriod,12458884.3276,2897582.78936,annual
2030,TxFixedCosts,1091555.69724,253864.866131,annual
2020,GenVariableOMCostsInTP,12590539.02,1797661.97581,timepoint
2030,GenVariableOMCostsInTP,5882307.01417,1368057.61398,timepoint
