gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,-4.56100848692e-15,0.0,0.0
Central_PV,Solar,2030,3.22214849792e-14,0.0,0.0
Coal_IGCC,Coal,2020,6.89711682625e-14,3.79991948332e-10,5.23756016398e-11
Coal_IGCC,Coal,2030,4.86610751693e-14,2.95966391395e-10,3.69524419064e-11
Coal_IGCC_CCS,Coal,2020,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2030,-1.01655740397e-14,-1.00212228883e-10,-1.51187133945e-12
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.9793134
Coal_ST,Coal,2030,14.832072,50429.0448,12750.835657
Geothermal,Geothermal,2020,33.9622224342,1126000.5037,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.58653,0.0
NG_CC,NaturalGas,2020,73.8387060628,266098.00055,26269.3970915
NG_CC,NaturalGas,2030,66.0599420044,191624.982654,23501.9672051
NG_CC_CCS,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,11.0717074998,301739.251825,6103.75927136
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2020,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,2.05835220868e-15,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,1.56466644304e-14,0.0,0.0
Wind,Wind,2030,85.8270294,0.0,0.0
solarpv_distributed,Solar,2020,-6.69086119842e-16,0.0,0.0
solarpv_distributed,Solar,2030,1.92673219151e-14,0.0,0.0
