gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0
Central_PV,Central,Solar,2020,-4.56100848692e-15,0.0,0.0
Central_PV,Central,Solar,2030,3.22214849792e-14,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0
Central_PV,North,Solar,2030,0.0,0.0,0.0
Central_PV,South,Solar,2020,0.0,0.0,0.0
Central_PV,South,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2020,3.24754951122e-14,1.58017965097e-10,2.46613713803e-11
Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0
Coal_IGCC,North,Coal,2020,3.64956731502e-14,2.21973983234e-10,2.77142302595e-11
Coal_IGCC,North,Coal,2030,4.86610751693e-14,2.95966391395e-10,3.69524419064e-11
Coal_IGCC_CCS,North,Coal,2020,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2030,-1.01655740397e-14,-1.00212228883e-10,-1.51187133945e-12
Coal_ST,Central,Coal,2020,14.832031392,53395.3130112,13459.1785664
Coal_ST,Central,Coal,2030,0.0,0.0,0.0
Coal_ST,North,Coal,2020,14.832031392,50428.9067328,12750.8007471
Coal_ST,North,Coal,2030,14.832072,50429.0448,12750.835657
Geothermal,North,Geothermal,2020,8.49055560856,244782.718195,0.0
Geothermal,North,Geothermal,2030,8.4905788545,244783.388375,0.0
Geothermal,South,Geothermal,2020,25.4716668257,881217.785501,0.0
Geothermal,South,Geothermal,2030,25.4717365635,881220.198151,0.0
NG_CC,Central,NaturalGas,2020,18.8971223498,51598.2146337,6722.97819616
NG_CC,Central,NaturalGas,2030,49.5798620044,135376.821606,17638.8936397
NG_CC,North,NaturalGas,2020,15.4193509262,52627.7866463,5485.70084677
NG_CC,North,NaturalGas,2030,16.48008,56248.161048,5863.07356538
NG_CC,South,NaturalGas,2020,39.5222327868,161871.99927,14060.7180485
NG_CC,South,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0
NG_GT,Central,NaturalGas,2020,4.12002,91652.316912,2271.33983387
NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0
NG_GT,North,NaturalGas,2020,3.93421696959,109398.771273,2168.9078495
NG_GT,North,NaturalGas,2030,0.0,0.0,0.0
NG_GT,South,NaturalGas,2020,3.01747053019,100688.16364,1663.51158799
NG_GT,South,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Central,Uranium,2020,0.0,0.0,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0
Nuclear,North,Uranium,2020,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,0.0,0.0,0.0
Residential_PV,Central,Solar,2030,0.0,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0
Residential_PV,North,Solar,2030,0.0,0.0,0.0
Residential_PV,South,Solar,2020,2.05835220868e-15,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0
Wind,Central,Wind,2020,-1.3148843716e-15,0.0,0.0
Wind,Central,Wind,2030,50.36347512,0.0,0.0
Wind,North,Wind,2020,1.6961548802e-14,0.0,0.0
Wind,North,Wind,2030,35.46355428,0.0,0.0
solarpv_distributed,Central,Solar,2020,0.0,0.0,0.0
solarpv_distributed,Central,Solar,2030,0.0,0.0,0.0
solarpv_distributed,North,Solar,2020,0.0,0.0,0.0
solarpv_distributed,North,Solar,2030,0.0,0.0,0.0
solarpv_distributed,South,Solar,2020,-6.69086119842e-16,0.0,0.0
solarpv_distributed,South,Solar,2030,1.92673219151e-14,0.0,0.0
